FE,Taxon_Group,Morph2,Calc,ER
"Rhodophyta,Br,NC,Auto",Rhodophyta,Br,NC,Auto
"Rhodophyta,Br,AC,Auto",Rhodophyta,Br,AC,Auto
"Chlorophyta,Fol,NC,Auto",Chlorophyta,Fol,NC,Auto
"Chlorophyta,Stol,NC,Auto",Chlorophyta,Stol,NC,Auto
"Rhodophyta,Enc,Non-AC,Auto",Rhodophyta,Enc,Non-AC,Auto
"Cyanobacteria,Enc,NC,Auto",Cyanobacteria,Enc,NC,Auto
"Cnidaria,Enc,Herm,Mix",Cnidaria,Enc,Herm,Mix
"Cnidaria,Mush,Herm,Mix",Cnidaria,Mush,Herm,Mix
"Chlorophyta,Cushion,NC,Auto",Chlorophyta,Cushion,NC,Auto
"Phaeophyta,Br,NC,Auto",Phaeophyta,Br,NC,Auto
"Cnidaria,Poly,NC,Mix",Cnidaria,Poly,NC,Mix
"Rhodophyta,Br,Non-AC,Auto",Rhodophyta,Br,Non-AC,Auto
"Cnidaria,Mas,Herm,Mix",Cnidaria,Mas,Herm,Mix
"Porifera,Enc,NC,Het",Porifera,Enc,NC,Het
"Chlorophyta,Br,AC,Auto",Chlorophyta,Br,AC,Auto
"Phaeophyta,Enc,NC,Auto",Phaeophyta,Enc,NC,Auto
"Cnidaria,Dig,Herm,Mix",Cnidaria,Dig,Herm,Mix
"Phaeophyta,Fol,Non-AC,Auto",Phaeophyta,Fol,Non-AC,Auto
"Cnidaria,Fol,Herm,Mix",Cnidaria,Fol,Herm,Mix
"Cnidaria,Br,Herm,Mix",Cnidaria,Br,Herm,Mix
"Chlorophyta,Fil,NC,Auto",Chlorophyta,Fil,NC,Auto
"Chlorophyta,Sph,NC,Auto",Chlorophyta,Sph,NC,Auto
