Dowel_ID,dowel_diam_cm,diam_height_cm,dowel_SA_cm2,aluminum_weight
A_all,2.6,16.7,144.5760939,0.6015
A_sub,2.6,16.7,136.407953,0.5796
B_all,2.2,15.7,115.4221141,0.4612
B_sub,2.2,15.7,108.5106103,0.4451
C_all,2,17.1,113.7256541,0.4984
C_sub,2,17.1,107.4424688,0.485
E_all,1,8,28.27433388,0.1259
E_sub,1,8,25.13274123,0.122
K_all,1.4,8,39.58406744,0.1718
K_sub,1.4,8,35.18583772,0.1651
G_all,0.6,6.9,14.89114918,0.0651
G_sub,0.6,6.9,13.00619359,0.0636
,,,,
,,,,
A_end,2.6,,8.168140899,0.0219
B_end,2.2,,6.911503838,0.0161
C_end,2,,6.283185307,0.0134
K_end,1.4,,4.398229715,0.0067
E_end,1,,3.141592654,0.0039
G_end,0.6,,1.884955592,0.0015
