SampleID,AT,ET,Volume.ml,AFDW.g
A1_H,HIGH,HIGH,224,7.779199999999997
A1_L,HIGH,LOW,185,5.211
A10_H,HIGH,HIGH,166,5.513000000000002
A2_H,HIGH,HIGH,166,5.6221999999999985
A2_L,HIGH,LOW,178,7.818199999999997
A3_H,HIGH,HIGH,179,7.008502500000002
A3_L,HIGH,LOW,188,6.2302
A4_H,HIGH,HIGH,186,5.302379999999999
A4_L,HIGH,LOW,191,6.077100000000001
A5_H,HIGH,HIGH,147,5.594200000000001
A5_L,HIGH,LOW,185,6.121800000000001
A6_H,HIGH,HIGH,169,4.833499999999998
A6_L,HIGH,LOW,179,5.480600000000001
A7_H,HIGH,HIGH,158,4.9491000000000005
A7_L,HIGH,LOW,152,4.264500000000002
A8_H,HIGH,HIGH,170,9.791099999999998
A8_L,HIGH,LOW,140,4.270200000000002
A9_H,HIGH,HIGH,151,4.5099
A9_L,HIGH,LOW,159,3.4430999999999985
B1_H,LOW,HIGH,158,3.4410028499999985
B1_L,LOW,LOW,182,3.6204
B10_L,LOW,LOW,137,2.5205000000000006
B2_H,LOW,HIGH,169,4.119300000000001
B2_L,LOW,LOW,174,3.9255000000000013
B3_H,LOW,HIGH,126,3.2734000000000014
B3_L,LOW,LOW,169,4.7112468299999986
B4_H,LOW,HIGH,143,2.732899999999999
B4_L,LOW,LOW,159,3.4513000000000007
B5_H,LOW,HIGH,139,3.3562000000000007
B5_L,LOW,LOW,154,3.5993000000000004
B6_H,LOW,HIGH,146,3.1024
B6_L,LOW,LOW,135,3.653900000000003
B7_H,LOW,HIGH,135,2.8163000000000005
B7_L,LOW,LOW,132,2.8998
B8_H,LOW,HIGH,136,2.51718634
B8_L,LOW,LOW,145,3.307199999999999
B9_H,LOW,HIGH,134,2.964899999999999
B9_L,LOW,LOW,97,1.876000000000001
